119 25
#############                                              ############################################################
#...........#    ########                                  #..........................................................#
#...........######......####################################........###########........................###............#
#...................................................................#         #......................##   ##..........#
#...........######......####################################........#         #....................##       ##........#
#...........#    #......#                                  #........#         #......................##   ##..........#
#...........#    #......#                                  #........#         #........................###............#
#...........######......#                                  #........#         #.......................................#
#.......................#                                  #........###########.......................................#
#.......................#                                  #..........................................................#
#.......................#                                  #..........................................................#
#.......................#                                  #..........................................................#
#.........########......#                                  #..........................................................#
###.......#      #......#                                  #..........................................................#
  #.......#      #......#                                  #..........................................................#
  #.......########......#                                  #.....................................###########..........#
  #.....................#                                  #.....................................#         #..........#
  #.....................####################################.....................................#         #..........#
  #..............................................................................................#         #..........#
  ###########################################################....................................#         #..........#
                                                             #...................................#         #..........#
                                                              #..................................###########.........#
                                                               #....................................................#
                                                                #..................................................#
                                                                ####################################################
