119 25
#############                                              ############################################################
#......c....#    ########                                  #..........................................................#
y.......s...######..c...####################################........###########........................###............#
#.p.................................................................#         #......................##   ##..........#
#...........######.....k####################################........#         #....................##       ##........#
#.....s.....#    #......#                                  #........#         #......................##   ##..........#
#...........#    #......#                                  #........#         #........................###............#
#....m......######......#                                  #........#         #.......................................#
#.......................#                                  #........###########.......................................#
#.......................#                                  #..........................................................#
#.......................#                                  #..........................................................#
#.......................#                                  #..........................................................#
#.........########......#                                  #..........................................................#
###..@....#      #......#                                  #..........................................................#
  #.......#      #....p.#                                  #..........................................................#
  #.......########......#                                  #.....................................###########..........#
  #...................m.#                                  #.....................................#         #..........#
  #.............b.......####################################.....................................#         #..........#
  #.m............................................................................................#         #..........#
  ###########################################################....................................#         #..........#
                                                             #...................................#         #..........#
                                                              #..................................###########.........#
                                                               #....................................................#
                                                                #..................................................#
                                                                ####################################################
